F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-boolean,F16-Set<Class<?>>,F16-String,F16-Map<String Object>,F16-K,F16-Object,F16-NA,F16-void,F16-MappedClass,F16-int,F3-NA,F3-A,F3-ContainsPic,F3-Class,F3-E,F3-ContainsPicKey,F3-List,F3-MappedClass,F3-null,F3-boolean,F3-Object,F3-ent.myLongId,F3-operator.val(),F3-String,F3-value,F3-int,F3-String[],F3-Rectangle,F3-ArrayList,F3-Pic,F7--,F7-%,F7-&,F7-NA,F7-+,F12-Logr,F12-FilterOperator,F12-ExecutorService,F12-Object,F12-NA,F12-K,F12-EntityCache,F12-boolean,F12-ObjectId,F12-ConstraintViolation,F12-String,F12-List<EmbedWithRef>,F17-static-final,F17-final,F17-static,F17-NA,F2-Iterable<T>,F2-MappedClass,F2-Class,F2-NA,F2-Map<String Object>,F2-Runtime,F2-URL,F2-QueryImpl<T>,F2-Arrays,F2-Executors,F2-Object,F2-String,F2-IterableConverter,F2-Class<>,F2-System,F2-E1,F2-E2,F6-java.util.HashMap<java.lang.String java.util.List<com.google.code.morphia.DBRef>>,F6-com.google.code.morphia.mapping.AnonymousClass.E,F6-NA,F6-com.google.code.morphia.mapping.CompoundId.E,F6-com.google.code.morphia.TestMapper.HoldsMultipleA,F6-com.google.code.morphia.mapping.AnonymousClass.CId,F6-java.util.ArrayList<java.lang.Long>,F6-com.google.code.morphia.ext.guice.GuiceTest.Bar,F6-java.io.PrintStream,F6-java.lang.IllegalStateException,F6-java.util.ArrayList<T>,F6-com.google.code.morphia.mapping.validation.classrules.ConstraintViolation,F6-com.google.code.morphia.mapping.lazy.ObjectId,F6-java.lang.String,F6-com.google.code.morphia.ObjectId,F6-com.google.code.morphia.mapping.ReferencesWIgnoreMissingTests.StringHolder,F6-java.util.concurrent.CopyOnWriteArraySet<com.google.code.morphia.mapping.MappedClass>,F6-com.google.code.morphia.validation.TestMorphiaValidation.E,F6-com.google.code.morphia.mapping.CompoundId.CId,F6-com.google.code.morphia.Rectangle,F13-private,F13-NA,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-map,F1-NA,F1-add,F1-getClass,F1-replaceAll,F1-startsWith,F1-iterator,F1-assertEquals,F1-get,F1-hasNoneOf,F1-equals,F1-getFile,F1-isAnnotationPresent,F1-hasThisElement,F1-hasAllOf,F1-setName,F1-toString,F1-save,F1-assertTrue,F1-foo,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.io.FilterOutputStream,F5-java.util.AbstractSet,F9-foo,F9-startDate,F9-name,F9-js,F9-NA,F9-joinMethod,F9-string,F9-v,F9-ds,F9-children,F9-type,F9-baos,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-boolean,F4-Collection<?>,F4-Query,F4-byte[],F4-Object,F4-void,F4-T[],F4-String,F4-int,F4-Class,F4-Iterator,F8-CriteriaContainerImpl,F8-TestSLF4JLogrTest,F8-QueryImpl<T>,F8-Foo,F8-MyList<E>,F8-WhereCriteria,F8-LogLine,F8-NA,F8-E,F8-PhoneNumber,F8-Hotel,F11-foo,F11-validateName,F11-NA,F11-log,F11-executorService,F11-field,F11-string,F11-operator,F11-k,F11-cache,F11-value,F11-id,F11-v,F11-embedWithRef,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-us@thomas-daily.de,F71-scotthernandez@gmail.com,F71-oli.gauti@gmail.com,F74,F73,F84,F146,category
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,9,120,3934,2,0,429,1,166,0.6031483015741508,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,BAD_PRACTICE,0.011235955056179775,DE_MIGHT_IGNORE,19,3,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-0.5,135,470,918,2252,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,1,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,22,120,3934,2,0,429,4,166,0.5393537696768849,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,STYLE,0.00749063670411985,NP_LOAD_OF_KNOWN_NULL_VALUE,19,3,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,1.0,0.5,0.019230769230769232,0.06666666666666667,0.04111111111111112,0.0,0.0,0.02857142857142857,0.04111111111111112,-0.7142857142857143,-0.5,65,277,762,2059,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,13,120,3934,2,0,429,7,166,0.15658657829328915,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,STYLE,0.026217228464419477,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.16666666666666666,0.010683760683760684,0.06666666666666667,0.04111111111111112,-0.6666666666666666,0.0,0.02857142857142857,0.04111111111111112,-0.7142857142857143,-0.5,111,417,884,2199,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,16,120,3934,2,0,429,9,166,0.824357912178956,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,STYLE,0.026217228464419477,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.16666666666666666,0.010683760683760684,0.06666666666666667,0.04111111111111112,-0.6666666666666666,0.0,0.02857142857142857,0.04111111111111112,-0.7142857142857143,-0.5,94,382,849,2164,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,58,120,3934,2,0,429,17,166,0.2328086164043082,917,44,0.04798255179934569,1.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,CORRECTNESS,0.003745318352059925,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,11,2,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-0.5,43,201,692,1983,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,19,120,3934,2,0,429,6,166,0.4183927091963546,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,PERFORMANCE,0.011235955056179775,WMI_WRONG_MAP_ITERATOR,18,2,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-0.5,102,397,863,2179,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2252,com/google/code/morphia,com/google/code/morphia/DatastoreImpl.java,918,true,23,120,3934,2,0,429,8,166,0.38193869096934546,917,44,0.04798255179934569,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,7,PERFORMANCE,0.011235955056179775,WMI_WRONG_MAP_ITERATOR,18,2,1,0.2743055555555556,0.024305555555555556,0.003472222222222222,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-0.5,73,313,792,2095,9,0.0,10,3,6,22,0.017523886763518102,1,4,0,5,0,-3,0,0.12916666666666665,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
2209,com/google/code/morphia,com/google/code/morphia/Key.java,891,true,4,11,3934,1,0,429,1,166,0.33793103448275863,87,37,0.42528735632183906,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,2,MALICIOUS_CODE,0.011235955056179775,EI_EXPOSE_REP2,18,2,1,0.2743055555555556,0.006944444444444444,0.003472222222222222,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-1.0,11,427,891,2209,9,0.0,10,3,6,22,0.017523886763518102,0,0,0,0,0,0,0,0.0,0,27,0,10,10,0,47,17,0.03434898193608101,44,0,1,0,1824,1650,1,1781,close
1914,com/google/code/morphia,com/google/code/morphia/MapreduceResults.java,637,true,0,12,3934,2,0,429,1,166,0.8648648648648649,61,2,0.03278688524590164,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,3,CORRECTNESS,0.018726591760299626,UWF_UNWRITTEN_FIELD,15,3,0,0.2743055555555556,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-1.0,3,132,637,1914,9,0.0,10,3,6,22,0.017523886763518102,0,1,0,1,0,-1,0,0.027777777777777776,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
1914,com/google/code/morphia,com/google/code/morphia/MapreduceResults.java,637,true,0,12,3934,2,0,429,1,166,0.8513513513513513,61,2,0.03278688524590164,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,3,CORRECTNESS,0.018726591760299626,UWF_UNWRITTEN_FIELD,15,3,0,0.2743055555555556,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.7142857142857143,-1.0,3,132,637,1914,9,0.0,10,3,6,22,0.017523886763518102,0,1,0,1,0,-1,0,0.027777777777777776,0,27,0,10,10,0,47,17,0.03434898193608101,13,1,1,0,1793,2264,1,1781,close
