F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-Thread,F16-boolean,F16-String,F16-char[],F16-NA,F16-void,F16-byte[],F3-NA,F3-LT_TKN,F3- Output stat for   + path +    + new StatsTrack(new String(data)).toString(),F3-CreateMode.PERSISTENT,F3-InputStream,F3-InputStreamReader,F3-byte[],F3-stats.toString().getBytes(),F3-InetSocketAddress,F3-String,F3-strackC.toString().getBytes(),F3-long,F3-Reader,F3-int,F3-char[],F3-SimpleCharStream,F3-IDENT_TKN,F3-Request,F3-strack.toString().getBytes(),F3-RECORD_TKN,F7--,F7-^,F7-+=,F7-NA,F7-+,F12-NA,F17-static,F17-NA,F2-Set<Long>,F2-Writer,F2-Process,F2-Iterator<Long>,F2-SaslClient,F2-NA,F2-AuthFastLeaderElection,F2-SimpleCharStream,F2-String,F2-RccTokenManager,F2-ParseException,F2-ByteBuffer,F2-Rcc,F2-BufferedReader,F2-System,F2-LinkedBlockingQueue<ToSend>,F6-org.apache.zookeeper.server.quorum.LeaderElectionBean,F6-NA,F6-java.io.FileWriter,F6-java.io.InputStreamReader,F6-org.apache.zookeeper.StatsTrack,F6-org.apache.jute.compiler.generated.Token,F6-org.apache.jute.compiler.generated.JVector,F6-org.apache.jute.compiler.generated.TokenMgrError,F6-org.apache.zookeeper.server.quorum.FastLeaderElection.ToSend,F6-java.io.FileReader,F6-org.apache.zookeeper.server.quorum.Vote,F6-java.io.File,F6-java.lang.String,F6-org.apache.jute.compiler.generated.JField,F6-org.apache.zookeeper.server.StatsTrack,F6-org.apache.zookeeper.Stat,F6-java.lang.Thread,F6-java.util.ArrayList<org.apache.jute.compiler.generated.JRecord>,F13-NA,F18-NA,F14-NA,F1-configFromString,F1-termPredicate,F1-ReInit,F1-NA,F1-setData,F1-jj_consume_token,F1-processRequest,F1-backup,F1-getBytes,F1-write,F1-println,F1-wrap,F1-readChar,F1-Type,F1-putInt,F1-toLowerCase,F1-equals,F1-create,F1-exit,F1-getInputStream,F5-java.lang.Object,F5-NA,F5-java.io.InputStreamReader,F5-java.io.OutputStreamWriter,F5-java.io.Reader,F5-java.util.AbstractList,F9-NA,F9-dataTree,F10-NA,F19-NA,F15-NA,F15-private,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-InputStream,F4-ByteBuffer,F4-char,F4-Token,F4-byte[],F4-ArrayList<JRecord>,F4-void,F4-JRecord,F4-String,F4-JMap,F4-Iterator,F4-JType,F8-ZKDatabase,F8-NA,F11-NA,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-rgs@apache.org,F71-hanm@apache.org,F71-phunt@apache.org,F71-rakeshr@apache.org,F71-henry@apache.org,F71-arshad@apache.org,F71-abefine@cloudera.com,F71-hanm@cloudera.com,F71-breed@apache.org,F71-afine@apache.org,F71-mahadev@apache.org,F71-michim@apache.org,F71-camille@apache.org,F71-thawan@apache.org,F71-cnauroth@apache.org,F71-nixon@fb.com,F71-fpj@apache.org,F71-shralex@apache.org,F71-jordan@jordanzimmerman.com,F71-tamaas@cloudera.com,F74,F73,F84,F146,category
2072,org/apache/jute,org/apache/jute/BinaryInputArchive.java,3484,true,8,18,918,2,8,172,2,20,0.7,84,24,0.2857142857142857,0.375,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,STYLE,0.025,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.006211180124223602,0.003105590062111801,0.003105590062111801,-1.0,0.0,0.0,0.011235955056179775,4.181143326841714E-4,-1.0,0.0,0.0031446540880503146,4.181143326841714E-4,-1.0,-1.0,6,1443,3484,2077,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,308,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,940,299,52,685,close
666,org/apache/jute/compiler,org/apache/jute/compiler/CGenerator.java,118,true,183,2,568,1,12,174,37,19,0.875968992248062,84,33,0.39285714285714285,0.26958105646630237,75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,2,I18N,0.03125,DM_CONVERT_CASE,20,3,2,0.024844720496894408,0.006211180124223602,0.006211180124223603,-1.0,0.0,0.0,0.0,0.0,-0.7777777777777778,0.0,0.0,0.0,-1.0,-1.0,1,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/CGenerator.java,118,true,122,2,568,1,0,174,25,19,0.5077519379844961,84,33,0.39285714285714285,1.0,75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,I18N,0.25,DM_DEFAULT_ENCODING,19,1,2,0.024844720496894408,0.006211180124223602,0.006211180124223602,-1.0,0.0,0.0,0.0,0.0,-0.575,0.0,0.0,0.0,-1.0,-1.0,1,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/CppGenerator.java,118,true,174,2,568,1,12,174,31,19,0.8978494623655914,81,32,0.3950617283950617,0.2777777777777778,71,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,2,I18N,0.03125,DM_CONVERT_CASE,20,3,2,0.024844720496894408,0.006211180124223602,0.006211180124223603,-1.0,0.0,0.0,0.0,0.0,-0.7777777777777778,0.0,0.0,0.0,-1.0,-1.0,1,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/CppGenerator.java,118,true,116,2,568,1,0,174,21,19,0.5282258064516129,81,32,0.3950617283950617,1.0,71,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,I18N,0.25,DM_DEFAULT_ENCODING,19,1,2,0.024844720496894408,0.006211180124223602,0.006211180124223602,-1.0,0.0,0.0,0.0,0.0,-0.575,0.0,0.0,0.0,-1.0,-1.0,1,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/JRecord.java,118,true,10,26,568,1,12,174,3,19,0.1062992125984252,675,26,0.03851851851851852,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,3,I18N,0.03125,DM_CONVERT_CASE,20,3,1,0.024844720496894408,0.009316770186335404,0.003105590062111801,-1.0,0.0,0.0,0.0,0.0,-0.7777777777777778,0.0,0.0,0.0,-1.0,-1.0,7,970,2809,1604,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/JRecord.java,118,true,165,26,568,1,0,174,25,19,0.7624671916010499,675,26,0.03851851851851852,1.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,I18N,0.25,DM_DEFAULT_ENCODING,19,1,1,0.024844720496894408,0.009316770186335404,0.003105590062111801,-1.0,0.0,0.0,0.0,0.0,-0.575,0.0,0.0,0.0,-1.0,-1.0,3,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
666,org/apache/jute/compiler,org/apache/jute/compiler/JRecord.java,118,true,164,26,568,1,8,174,26,19,0.5354330708661418,675,26,0.03851851851851852,0.07926829268292683,187,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,I18N,0.25,DM_DEFAULT_ENCODING,19,1,1,0.024844720496894408,0.009316770186335404,0.003105590062111801,-1.0,0.0,0.0,0.0,0.0,-0.575,0.0,0.0,0.0,-1.0,-1.0,3,131,415,765,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,666,299,33,666,close
2077,org/apache/jute/compiler,org/apache/jute/compiler/JType.java,3484,true,3,35,568,1,8,174,1,19,0.43137254901960786,144,24,0.16666666666666666,0.6666666666666666,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,I18N,0.03125,DM_CONVERT_CASE,20,3,1,0.024844720496894408,0.003105590062111801,0.003105590062111801,-1.0,0.0,0.0,0.0,0.0,-0.7777777777777778,0.0,0.0,0.0,-1.0,-1.0,4,1443,3484,2077,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,972,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1604,299,33,666,close
2068,org/apache/jute/compiler/generated,org/apache/jute/compiler/generated/ParseException.java,3484,true,6,5,1484,1,4,112,1,7,0.2634146341463415,110,80,0.7272727272727273,0.6666666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,63,3,MALICIOUS_CODE,0.125,EI_EXPOSE_REP2,18,2,2,0.1956521739130435,0.009316770186335404,0.006211180124223602,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3,1443,3484,2077,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,2246,783,1415,open
