F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-Configuration,F16-KeyValue,F16-List<PeekingResultIterator>,F16-PDataType,F16-Expression,F16-Boolean,F16-PMetaData,F16-NA,F16-void,F16-byte[],F16-int,F16-boolean,F16-String,F16-ParseNode,F16-KeyRange,F16-PhoenixArray,F16-Void,F16-PhoenixConnection,F16-ResultSet,F16-ParameterMetaData,F3-NA,F3-SchemaUtil.normalizeIdentifier(tableName),F3-SchemaUtil.normalizeIdentifier(schemaName),F3-Class,F3-byte[],F3-null,F3-children.get(0),F3-ImmutableBytesWritable,F3-getUrl(),F3-boolean,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-DataInput,F3-BitSet,F3-PreparedStatement,F3-input,F3-Connection,F7-|,F7--,F7-&=,F7-++,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-PhoenixConnection,F12-int,F12-NA,F12-VerifyingIndexCodec,F12-Queue<TableStateVerifier>,F12-HTable,F12-boolean,F12-Logger,F12-MemoryChunk,F12-Map<ImmutableBytesPtr List<Tuple>>,F12-Tuple,F12-byte[],F12-ImmutableBytesWritable,F12-List<KeyRange>,F12-KeyValueBuilder,F17-static,F17-final,F17-NA,F2-QueryCompilerTest,F2-NA,F2-MemoryManagerTest,F2-Entry,F2-ToCharFunctionIT,F2-DateFormat,F2-Wrapper,F2-Arrays,F2-ExtendedQueryExecIT,F2-Connection,F2-String,F2-ToNumberFunctionIT,F2-PreparedStatement,F2-CountDownLatch,F2-DriverManager,F2-Format,F2-System,F2-MessageDigest,F2-Statement,F2-InListExpression,F6-java.sql.Date,F6-org.apache.phoenix.coprocessor.Delete,F6-NA,F6-org.apache.phoenix.arithmetic.ImmutableBytesWritable,F6-org.apache.phoenix.coprocessor.Put,F6-java.text.DecimalFormat,F6-java.util.Properties,F6-java.math.BigDecimal,F6-org.apache.phoenix.schema.PhoenixArray,F6-PhoenixArray.PrimitiveDoublePhoenixArray,F6-java.io.DataInputStream,F6-java.io.File,F6-java.lang.String,F6-org.apache.phoenix.hbase.index.covered.KeyValue,F6-java.lang.StringBuilder,F6-PhoenixArray.PrimitiveBytePhoenixArray,F6-org.apache.hadoop.hbase.regionserver.wal.Path,F6-org.apache.phoenix.end2end.StatsManagerIT.MaxKeyChange,F6-org.apache.phoenix.expression.ImmutableBytesPtr,F6-org.apache.phoenix.expression.function.ImmutableBytesWritable,F13-private,F13-NA,F18-private,F18-NA,F18-public,F14-static-final,F14-final-final,F14-NA,F14-final,F1-executeQuery,F1-offer,F1-NA,F1-close,F1-prepareStatement,F1-getUrl,F1-pushFollow,F1-createArrayOf,F1-execute,F1-getConnection,F1-format,F1-runOneRowQueryTest,F1-compareTo,F1-setString,F1-allocate,F1-sleepFor,F1-match,F1-getTableName,F1-closeStmtAndConn,F1-createStatement,F5-java.io.FilterInputStream,F5-java.lang.Object,F5-NA,F5-java.util.Date,F5-java.io.Writer,F5-java.lang.Number,F5-java.lang.AbstractStringBuilder,F5-java.text.NumberFormat,F5-java.io.IOException,F5-java.util.AbstractCollection,F5-java.util.Hashtable,F5-java.lang.Exception,F9-query,F9-columns,F9-tableName,F9-intersection,F9-expectedKvs,F9-a,F9-b,F9-hbaseRootDir,F9-parameters,F9-statement,F9-msg,F9-baseType,F9-fs,F9-rowKey,F9-array,F9-union,F9-NA,F9-expected,F9-decoder,F9-conf,F10-NA,F10-true,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-PTable,F4-boolean,F4-long,F4-ResultSet,F4-Statement,F4-PreparedStatement,F4-ShutdownOnUnusedThreadPoolExecutor,F4-Scan,F4-Connection,F4-byte[],F4-void,F4-Array,F4-List,F4-double,F4-T,F4-String,F4-int,F4-SequenceKey,F4-OrderPreserving,F8-KeyRangeIntersectTests,F8-WALReplayWithIndexWritesAndCompressedWALIT,F8-PhoenixHBaseLoader,F8-KeyRangeCoalesceTests,F8-ListMatchingVerifier,F8-MultiMutation,F8-NA,F8-KeyRangeUnionTests,F8-PhoenixArray,F8-PhoenixConnection,F8-CompressedIndexKeyValueDecoder,F8-PhoenixPreparedStatement,F11-qualifier,F11-rowCount,F11-length,F11-done,F11-tuple,F11-input,F11-NA,F11-memoryChunk,F11-currentKey,F11-hashCache,F11-row,F11-maxSize,F11-kvBuilder,F11-offset,F11-index,F11-logger,F11-connection,F11-buf,F11-valueBuffer,F11-codec,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jzhong@JZhongs-MacBook-Pro.local,F71-ramkrishna.s.vasudevan@intel.com,F71-jamestaylor@apache.org,F71-jtaylor@salesforce.com,F71-stoens@apache.org,F71-gabrielr@ngdata.com,F71-anoopsamjohn@gmail.com,F71-greid@apache.org,F71-larsh@apache.org,F71-mujtaba@apache.org,F71-jyates@apache.org,F71-maryannxue@apache.org,F74,F73,F84,F146,category
1854,com/salesforce/phoenix/schema,com/salesforce/phoenix/schema/MetaDataSplitPolicy.java,122,true,0,0,2,1,0,0,1,1,0.9666666666666667,3,24,8.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,BAD_PRACTICE,8.718395815170009E-4,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,14,1,0,2.6695141484249865E-4,2.6695141484249865E-4,0.0,0.0,0.0,0.0,0.25886524822695034,0.235846763640015,-1.0,0.0,0.06364428945074106,121.09929078014184,-1.0,-1.0,1,305,156,1977,0,0.0,0,0,0,0,0.0,22,0,0,22,0,22,0,0.5641025641025641,0,22,0,0,0,0,22,22,0.5641025641025641,184,0,0,1,0,0,0,0,0,0,0,0,0,1854,1977,184,1854,open
1840,org/apache/commons/csv,org/apache/commons/csv/CSVFormat.java,120,true,3,40,923,1,8,117,1,14,0.47850678733031676,340,485,1.4264705882352942,0.6666666666666666,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,STYLE,0.012205754141238012,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,8.00854244527496E-4,2.6695141484249865E-4,2.6695141484249865E-4,1.0,0.5714285714285714,0.009795918367346938,0.23828125,0.561978237534437,0.14285714285714285,0.0,0.05318221447253706,143.1171875,1.0,1.0,0,168,120,1840,0,0.0,0,0,0,0,0.0,806,0,0,806,0,806,0,0.8430962343096234,0,1501,0,0,0,0,1501,1501,0.1654428607113161,167,0,0,1,0,0,0,0,0,0,0,0,0,1840,1977,167,1840,close
1839,org/apache/commons/csv,org/apache/commons/csv/CSVParser.java,120,true,5,14,923,3,8,117,3,14,0.32340425531914896,192,238,1.2395833333333333,0.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,I18N,0.013077593722755012,DM_DEFAULT_ENCODING,19,1,1,8.00854244527496E-4,2.6695141484249865E-4,2.6695141484249865E-4,1.0,0.4,0.12,0.42857142857142855,2.3789397415771048E-4,-0.2,0.0,0.010462074978204011,125.89285714285714,1.0,1.0,0,168,120,1840,0,0.0,0,0,0,0,0.0,5,0,0,5,0,5,0,0.10869565217391304,0,1501,0,0,0,0,1501,1501,0.1654428607113161,167,0,0,1,0,0,0,0,0,0,0,0,0,1840,1977,167,1840,close
1839,org/apache/commons/csv,org/apache/commons/csv/CSVPrinter.java,120,true,28,15,923,2,16,117,9,14,0.7062937062937062,236,154,0.652542372881356,0.6136363636363636,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,STYLE,8.718395815170009E-4,SF_SWITCH_FALLTHROUGH,17,2,1,8.00854244527496E-4,2.6695141484249865E-4,2.6695141484249865E-4,1.0,1.0,0.0,0.23828125,0.561978237534437,1.0,0.0,0.05318221447253706,143.1171875,1.0,1.0,0,168,120,1840,0,0.0,0,0,0,0,0.0,2,0,0,2,0,2,0,0.030303030303030304,0,1501,0,0,0,0,1501,1501,0.1654428607113161,167,0,0,1,0,0,0,0,0,0,0,0,0,1840,1977,167,1840,close
1977,org/apache/hadoop/hbase/regionserver/wal,org/apache/hadoop/hbase/regionserver/wal/IndexedWALEditCodec.java,156,true,0,3,366,5,5,24,1,9,0.553921568627451,111,63,0.5675675675675675,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,PERFORMANCE,0.011333914559721011,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.0010678056593699946,5.339028296849973E-4,0.0,0.0,0.15384615384615385,0.018596787827557058,0.2361111111111111,0.127711579927064,-0.6923076923076923,0.0,0.02964254577157803,146.34722222222223,-1.0,-1.0,6,305,156,1977,0,0.0,0,0,0,0,0.0,310,2,0,312,0,308,0,0.01747614566974759,0,461,0,102,0,0,563,359,0.03146346406249012,77,1,0,1,1,0,0,0,0,0,1,0,0,1747,1977,77,1747,open
1977,org/apache/hadoop/hbase/regionserver/wal,org/apache/hadoop/hbase/regionserver/wal/IndexedWALEditCodec.java,156,true,0,3,366,5,3,24,1,9,0.4166666666666667,111,63,0.5675675675675675,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,PERFORMANCE,0.011333914559721011,SIC_INNER_SHOULD_BE_STATIC,18,2,0,0.0010678056593699946,5.339028296849973E-4,0.0,0.0,0.15384615384615385,0.018596787827557058,0.2361111111111111,0.127711579927064,-0.6923076923076923,0.0,0.02964254577157803,146.34722222222223,-1.0,-1.0,6,305,156,1977,0,0.0,0,0,0,0,0.0,310,2,0,312,0,308,0,0.01747614566974759,0,461,0,102,0,0,563,359,0.03146346406249012,77,1,0,1,1,0,0,0,0,0,1,0,0,1747,1977,77,1747,open
1789,org/apache/hadoop/hbase/regionserver/wal,org/apache/hadoop/hbase/regionserver/wal/WALReplayWithIndexWritesAndCompressedWALIT.java,113,true,9,12,366,1,3,24,1,9,0.3466666666666667,195,70,0.358974358974359,0.6111111111111112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,BAD_PRACTICE,0.0052310374891020054,NM_CONFUSING,19,3,0,0.0010678056593699946,5.339028296849973E-4,1.3347570742124932E-4,-0.5,0.16666666666666666,0.006613756613756614,0.25886524822695034,0.235846763640015,-0.6666666666666666,0.0,0.06364428945074106,121.09929078014184,-1.0,-1.0,1,117,113,1789,0,0.0,0,0,0,0,0.0,3,2,0,5,0,1,0,0.05813953488372093,0,461,0,102,0,0,563,359,0.03146346406249012,99,0,0,1,0,0,0,0,0,0,0,0,0,1769,1977,77,1747,open
1789,org/apache/hadoop/hbase/regionserver/wal,org/apache/hadoop/hbase/regionserver/wal/WALReplayWithIndexWritesAndCompressedWALIT.java,113,true,7,12,366,1,4,24,3,9,0.49666666666666665,195,70,0.358974358974359,0.2857142857142857,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,STYLE,0.02005231037489102,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.0010678056593699946,5.339028296849973E-4,2.6695141484249865E-4,-1.0,0.21739130434782608,0.006805293005671078,0.23828125,0.561978237534437,-0.5652173913043478,0.0,0.05318221447253706,143.1171875,-1.0,-1.0,1,117,113,1789,0,0.0,0,0,0,0,0.0,3,2,0,5,0,1,0,0.05813953488372093,0,461,0,102,0,0,563,359,0.03146346406249012,99,0,0,1,0,0,0,0,0,0,0,0,0,1769,1977,77,1747,open
1977,org/apache/phoenix/arithmetic,org/apache/phoenix/arithmetic/ArithmeticOperationTest.java,156,true,35,6,215,1,12,6,1,1,0.9369085173501577,241,45,0.18672199170124482,0.6190476190476191,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,STYLE,0.020924149956408022,DLS_DEAD_LOCAL_STORE,20,3,1,2.6695141484249865E-4,2.6695141484249865E-4,2.6695141484249865E-4,1.0,0.5416666666666666,0.009930555555555555,0.23828125,0.561978237534437,0.08333333333333333,0.0,0.05318221447253706,143.1171875,1.0,1.0,6,305,156,1977,0,0.0,0,0,0,0,0.0,513,11,0,524,0,502,0,0.002081078850324581,0,513,0,11,0,0,524,502,0.002081078850324581,142,0,0,1,1,0,0,0,0,0,1,0,0,1812,1977,142,1812,close
1977,org/apache/phoenix/cache,org/apache/phoenix/cache/GlobalCache.java,156,true,12,8,325,2,12,26,3,12,0.6178343949044586,100,42,0.42,0.375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,MT_CORRECTNESS,0.0026155187445510027,DC_DOUBLECHECK,14,2,1,0.002402562733582488,0.0010678056593699946,2.6695141484249865E-4,-1.0,0.0,0.0,0.25,0.03732638888888888,-1.0,0.0,0.0017436791630340018,128.75,-0.3333333333333333,-0.5,9,305,156,1977,0,0.0,0,0,0,0,0.0,94,4,0,98,0,90,0,0.04751926057128742,0,535,0,15,3,0,553,520,0.021481890083396394,90,0,0,1,1,0,0,0,0,0,1,0,0,1760,1977,90,1760,open
