canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-boolean,F16-String,F16-Boolean,F16-NA,F16-int,F16-Strategy,F3-NA,F3-Integer,F3-String,F3-int,F3-Token[],F3-Object,F7-++,F7--=,F7-+=,F7-NA,F12-NA,F17-static,F17-NA,F2-String,F2-NA,F2-Map<Locale Strategy>,F2-Calendar,F2-Token,F6-NA,F13-NA,F18-NA,F14-NA,F1-containsTokenWithValue,F1-toLowerCase,F1-NA,F1-getValue,F1-charAt,F1-toUpperCase,F1-startsWith,F1-length,F1-get,F5-NA,F9-NA,F10-NA,F19-NA,F15-NA,F15-private,F15-public,F0-NA,F4-NA,F4-boolean,F4-int,F4-String,F4-Strategy,F4-char,F4-Object,F8-NA,F11-NA,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-pbenedict@apache.org,F71-jcarman@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,category
commons-B-0,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,14,223,6053,1,12,780,5,33,0.39488148402610784,2070,3507,1.6942028985507247,0.6428571428571429,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.039603960396039604,FE_FLOATING_POINT_EQUALITY,20,3,2,0.6792452830188679,0.4339622641509434,0.018867924528301886,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-1,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,14,223,6053,1,12,780,5,33,0.43043627619374786,2070,3507,1.6942028985507247,0.6428571428571429,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.039603960396039604,FE_FLOATING_POINT_EQUALITY,20,3,2,0.6792452830188679,0.4339622641509434,0.018867924528301886,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-2,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,17,223,6053,1,12,780,6,33,0.41137066300240466,2070,3507,1.6942028985507247,0.7058823529411765,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.039603960396039604,FE_FLOATING_POINT_EQUALITY,20,3,2,0.6792452830188679,0.4339622641509434,0.018867924528301886,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-3,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,17,223,6053,1,12,780,6,33,0.43816557883888696,2070,3507,1.6942028985507247,0.7058823529411765,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.039603960396039604,FE_FLOATING_POINT_EQUALITY,20,3,2,0.6792452830188679,0.4339622641509434,0.018867924528301886,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-4,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.06887667468223978,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-5,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.06612847818619032,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
commons-B-6,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.07162487117828925,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
commons-B-7,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.07437306767433871,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
commons-B-8,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.06063208519409138,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
commons-B-9,2562,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtils.java,1117,true,6,223,6053,1,12,780,2,33,0.05788388869804191,2070,3507,1.6942028985507247,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,72,46,STYLE,0.49504950495049505,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,9,0.6792452830188679,0.4339622641509434,0.08490566037735849,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,44,1227,1117,2562,1183,0.11226851851851852,37,321,862,1541,0.08115637337402164,0,0,0,0,2,0,3,0.0,5,600,0,13,7,1,620,587,0.0640469220772877,34,1,1,1,0,1,1,1,1,0,1,1,0,1,1367,4806,1,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
