canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-float,F16-Thread,F16-JMeterProperty,F16-X509Certificate[],F16-AssertionResult,F16-long,F16-NA,F16-CollectionProperty,F16-void,F16-int,F16-GuiPackage,F16-boolean,F16-PasswordAuthentication,F16-String,F16-Integer,F16-ReportPage,F16-ParamMask,F16-Class<?>,F16-CookieManager,F16-List<HTTPSamplerBase>,F3-NA,F3-((ThroughputController)el).getMaxThroughput(),F3-JMeterTreeNode,F3-StringProperty,F3-CollectionProperty,F3-TextMessage,F3-TestElementProperty,F3-GenericController,F3-HashTree,F3-byte[],F3-boolean,F3-JMeterFileFilter,F3-String,F3-long,F3-InterleaveControl.IGNORE_SUB_CONTROLLERS,F3-int,F3-Node,F3-String[],F3-Date,F3-Locale,F7--,F7-++,F7-+=,F7-NA,F7-+,F12-long,F12-int,F12-Object,F12-LinkedList<LoopIterationListener>,F12-NA,F12-ThreadLocal<Long>,F12-boolean,F12-JTextField,F12-Logger,F12-String[],F12-String,F12-SamplingStatCalculator,F12-JTree,F12-double,F12-Random,F12-JTextArea,F12-JMeterEngine,F12-RemoteSampleListener,F12-Set<String>,F12-BeanInfo,F17-static,F17-final,F17-NA,F2-StringBuilder,F2-NA,F2-Integer,F2-JTextComponent,F2-JTree,F2-InputStream,F2-DateFormat,F2-Entry<Object Object>,F2-AbstractButton,F2-JFileChooser,F2-Header,F2-ExecutorService,F2-Connection,F2-String,F2-HashTree,F2-MailerModel,F2-Long,F2-System,F2-Authorization,F2-File,F6-java.util.Random,F6-java.util.zip.GZIPInputStream,F6-java.io.ByteArrayOutputStream,F6-NA,F6-java.io.FileWriter,F6-org.apache.jmeter.config.StringProperty,F6-java.io.InputStreamReader,F6-org.apache.jmeter.protocol.http.modifier.TestElementProperty,F6-java.io.PrintWriter,F6-org.apache.jmeter.gui.action.ActionRouter,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuilder,F6-org.apache.jmeter.protocol.http.util.CollectionProperty,F6-org.apache.jmeter.protocol.http.sampler.DefaultHttpRequestRetryHandler,F6-java.util.Date,F6-org.apache.jmeter.testelement.property.StringProperty,F6-org.apache.jmeter.config.CollectionProperty,F6-java.io.BufferedReader,F6-org.apache.jmeter.gui.ReportGuiPackage,F13-private,F13-NA,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-cloneTree,F1-setResponseData,F1-NA,F1-setStyle,F1-setProperty,F1-trim,F1-getMailerModel,F1-getText,F1-getPropDefault,F1-getLoggerForClass,F1-addComponent,F1-getSelectedFile,F1-debug,F1-get,F1-setSelected,F1-exit,F1-getKey,F1-toString,F1-length,F1-setText,F5-java.util.AbstractMap,F5-java.util.zip.InflaterInputStream,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.io.OutputStreamWriter,F5-AbstractTestElement,F5-java.util.AbstractSequentialList,F5-java.lang.Thread,F5-java.io.FilterOutputStream,F5-javax.swing.JToggleButton,F5-java.io.Reader,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.util.AbstractSet,F9-factory,F9-label,F9-data,F9-xAxisLabels,F9-startTime,F9-samplerLabel,F9-time,F9-backColor,F9-chkBox,F9-barrier,F9-NA,F9-lineColor,F9-random,F9-md5HexInput,F9-length,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-HashTree,F4-String[],F4-Container,F4-boolean,F4-File[],F4-Future,F4-long,F4-PreparedStatement,F4-JMeterProperty,F4-Node,F4-Object,F4-File,F4-TreePath,F4-void,F4-List,F4-StringBuilder,F4-String,F4-int,F4-JButton,F8-RespTimeGraphLineBean,F8-BarGraph,F8-RespTimeGraphChart,F8-RespTimeGraphDataBean,F8-RandomTimer,F8-NA,F8-MD5HexAssertionGUI,F8-AxisGraph,F8-LineGraph,F8-HC4TrustAllSSLSocketFactory,F8-BarrierWrapper,F11-ALWAYS_ENCODE,F11-APPLIABLE_CONFIG_CLASSES,F11-compareContent,F11-NA,F11-log,F11-firstTime,F11-ZERO,F11-LOCK,F11-maxThroughput,F11-CONDITION,F11-serialVersionUID,F11-listener,F11-TEXT_HTML,F11-COLUMN_RESOURCE_NAMES,F11-sumOfSquares,F11-CLEAR,F11-NORMAL_CHARACTER_REGEX,F11-rand,F11-CONNECTOR_PREFIX_DEFAULT,F11-loopCount,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-dev-null@apache.org,F71-mblankestijn@apache.org,F71-jsalvata@apache.org,F71-dims@apache.org,F71-jeremy_a@apache.org,F71-seade@apache.org,F71-oros@apache.org,F71-woolfel@apache.org,F71-mkostrze@apache.org,F71-pmouawad@apache.org,F71-alf@apache.org,F71-milamber@apache.org,F71-thads@apache.org,F71-sebb@apache.org,F71-mstover1@apache.org,F74,F73,F84,F146,category
jmeter-B-0,8464,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,1639,true,3,27,520,1,8,53,1,7,0.15689149560117302,404,167,0.41336633663366334,0.6666666666666666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.018425460636515914,EI_EXPOSE_REP,18,2,1,0.004424778761061947,0.004424778761061947,0.0014749262536873156,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5,-1.0,9,7097,2846,11855,1,0.0,0,0,1,1,0.01020408163265306,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7063,14044,116,4872,open
jmeter-B-1,8464,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,1639,true,14,27,520,1,8,53,1,7,0.33284457478005863,404,167,0.41336633663366334,0.35714285714285715,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.031825795644891124,EI_EXPOSE_REP2,18,2,2,0.004424778761061947,0.004424778761061947,0.0029498525073746312,-1.0,0.0,0.0,0.0,0.0,-0.6923076923076923,0.0,0.0,0.0,-0.5,-1.0,9,7097,2846,11855,1,0.0,0,0,1,1,0.01020408163265306,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7063,14044,116,4872,open
jmeter-B-2,8464,org/apache/commons/cli/avalon,org/apache/commons/cli/avalon/CLArgsParser.java,1639,true,14,27,520,1,8,53,1,7,0.3284457478005865,404,167,0.41336633663366334,0.14285714285714285,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,MALICIOUS_CODE,0.031825795644891124,EI_EXPOSE_REP2,18,2,2,0.004424778761061947,0.004424778761061947,0.0029498525073746312,-1.0,0.0,0.0,0.0,0.0,-0.6923076923076923,0.0,0.0,0.0,-0.5,-1.0,9,7097,2846,11855,1,0.0,0,0,1,1,0.01020408163265306,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7063,14044,116,4872,open
jmeter-B-3,8613,org/apache/commons/jexl/bsf,org/apache/commons/jexl/bsf/JexlEngine.java,1694,true,13,8,67,1,0,8,2,1,0.9666666666666667,103,31,0.30097087378640774,1.0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,STYLE,0.08040201005025126,REC_CATCH_EXCEPTION,20,3,1,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,-1.0,0.061224489795918366,0.0022106173709672255,0.0725,0.30515659998359235,-0.8571428571428571,0.0,0.04654895666131621,0.30515659998359235,-1.0,-1.0,8,3855,1694,8613,2,0.058823529411764705,0,0,2,2,0.058823529411764705,0,0,0,0,0,0,2,0.0,2,0,0,0,0,2,0,0,0.0,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4872,14044,116,4872,open
jmeter-B-4,13760,org/apache/jmeter,org/apache/jmeter/JMeter.java,3795,true,117,22,1016,5,0,42,21,12,0.342512908777969,941,126,0.1339001062699256,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.010050251256281407,DM_EXIT,16,2,1,0.008849557522123894,0.0058997050147492625,0.0014749262536873156,-1.0,0.0,0.0,0.15,0.21406249999999996,-1.0,0.0,0.014446227929373997,0.21406249999999996,-1.0,-1.0,27,2205,697,6963,12,0.11594202898550725,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,8,0.0,8,0,0,0,0,8,0,0,0.0,92,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4848,14044,92,4848,open
jmeter-B-5,13760,org/apache/jmeter,org/apache/jmeter/JMeter.java,3795,true,29,22,1016,5,12,42,5,12,0.9061962134251291,941,126,0.1339001062699256,0.41379310344827586,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,MALICIOUS_CODE,0.018425460636515914,EI_EXPOSE_REP,18,2,1,0.008849557522123894,0.0058997050147492625,0.0014749262536873156,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,118,6865,2756,11623,12,0.11594202898550725,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,8,0.0,8,0,0,0,0,8,0,0,0.0,92,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4848,14044,92,4848,open
jmeter-B-6,13760,org/apache/jmeter,org/apache/jmeter/JMeter.java,3795,true,0,22,1016,5,18,42,1,12,0.26161790017211706,941,126,0.1339001062699256,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,PERFORMANCE,0.04355108877721943,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.008849557522123894,0.0058997050147492625,0.0,0.0,0.21739130434782608,0.02126654064272212,0.46,0.15407855295631173,-0.4782608695652174,0.0,0.03691813804173355,0.15407855295631173,-1.0,-1.0,157,9002,3795,13760,12,0.11594202898550725,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,8,0.0,8,0,0,0,0,8,0,0,0.0,92,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,4848,14044,92,4848,open
jmeter-B-7,13760,org/apache/jmeter,org/apache/jmeter/JMeter.java,3795,true,0,22,1016,5,22,42,1,12,0.8614457831325302,941,126,0.1339001062699256,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,PERFORMANCE,0.04355108877721943,SIC_INNER_SHOULD_BE_STATIC_ANON,20,3,0,0.008849557522123894,0.0058997050147492625,0.0,0.0,0.21739130434782608,0.02126654064272212,0.46,0.15407855295631173,-0.4782608695652174,0.0,0.03691813804173355,0.15407855295631173,-1.0,-1.0,157,9002,3795,13760,12,0.11594202898550725,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,8,0.0,8,0,0,0,0,8,0,0,0.0,92,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,4848,14044,92,4848,open
jmeter-B-8,8064,org/apache/jmeter,org/apache/jmeter/JMeterReport.java,1347,true,33,7,1016,1,12,42,6,12,0.8054187192118226,246,123,0.5,0.9393939393939394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,BAD_PRACTICE,0.010050251256281407,DM_EXIT,16,2,1,0.008849557522123894,0.0029498525073746312,0.0014749262536873156,-1.0,0.0,0.0,0.15,0.21406249999999996,-1.0,0.0,0.014446227929373997,0.21406249999999996,-1.0,-1.0,30,6699,2698,11457,12,0.09090909090909091,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,2,0.0,2,0,0,0,0,2,0,0,0.0,100,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4856,14044,92,4848,close
jmeter-B-9,8064,org/apache/jmeter,org/apache/jmeter/JMeterReport.java,1347,true,23,7,1016,1,12,42,4,12,0.39901477832512317,246,123,0.5,0.2608695652173913,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,MALICIOUS_CODE,0.018425460636515914,EI_EXPOSE_REP,18,2,1,0.008849557522123894,0.0029498525073746312,0.0014749262536873156,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,30,6699,2698,11457,12,0.09090909090909091,1,0,12,13,0.04796363057232622,0,0,0,0,0,0,2,0.0,2,0,0,0,0,2,0,0,0.0,100,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4856,14044,92,4848,close
