canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-float,F16-String[],F16-SolrInputField,F16-char[],F16-long,F16-Object,F16-NA,F16-void,F16-int,F16-double,F16-Query,F16-Header,F16-boolean,F16-Collection<ContentStream>,F16-String,F16-SolrIndexSearcher,F16-DocIdSet,F16-TermRangeFilter,F16-NamedList,F16-BytesRef,F3-NA,F3-CharSequence,F3-int[],F3-Class,F3-FieldInfo,F3-Among[],F3-byte[],F3-boolean,F3-FileInputStream,F3-char,F3-Bits,F3-String,F3-long,F3-CharStream,F3-int,F3-char[],F3-getBoost(),F3-StandardTermState,F3-OutputStream,F3-Locale,F7-|,F7--,F7-^,F7-/,F7--=,F7-++,F7-%,F7-+=,F7-&,F7-NA,F7-+,F7-^=,F12-long,F12-int,F12-BytesRef,F12-SpanQuery,F12-NA,F12-boolean,F12-Double,F12-NamedList,F12-String,F12-Scorer,F12-List<String>,F12-byte,F12-Map<String FieldsProducer>,F12-Token,F12-CharTermAttribute,F12-float,F12-ValueSource,F12-IndexInput,F12-List<AnalysisPhase>,F12-SolrParams,F17-abstract,F17-final-final-final,F17-static,F17-final,F17-NA,F2-StringBuilder,F2-HungarianStemmer,F2-Class,F2-StandardSyntaxParser,F2-UAX29URLEmailTokenizerImpl,F2-NA,F2-QueryParserTokenManager,F2-Map<String String>,F2-Integer,F2-QueryParser,F2-Object,F2-String,F2-PorterStemmer,F2-Trie,F2-Pattern,F2-Element,F2-Float,F2-KpStemmer,F2-File,F2-HTMLStripCharFilter,F6-NA,F6-org.apache.lucene.queryparser.surround.parser.Token,F6-java.util.HashSet<java.lang.String>,F6-java.io.FileOutputStream,F6-java.io.FileInputStream,F6-org.apache.lucene.codecs.lucene41.Lucene41PostingsReader.BlockDocsAndPositionsEnum,F6-org.egothor.stemmer.Trie.StrEnum,F6-org.apache.lucene.search.suggest.analyzing.BytesRef,F6-org.apache.solr.parser.Token,F6-org.apache.lucene.queryparser.flexible.standard.parser.Token,F6-java.util.ArrayList<java.lang.String>,F6-java.lang.Character,F6-java.lang.Integer,F6-org.apache.solr.handler.dataimport.VariableResolver,F6-java.io.File,F6-java.util.ArrayList<java.lang.Integer>,F6-java.util.HashMap<java.lang.String org.apache.solr.client.solrj.response.FieldAnalysisResponse.Analysis>,F6-org.apache.solr.client.solrj.impl.ZkStateReader,F6-java.util.Date,F6-org.apache.solr.client.solrj.impl.BasicHeader,F13-private,F13-NA,F13-protected,F13-public,F18-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F14-final,F1-size,F1-delete,F1-NA,F1-jj_ntk,F1-add,F1-r_mark_regions,F1-close,F1-getClass,F1-clone,F1-jj_consume_token,F1-find_among_b,F1-get,F1-readChar,F1-equals,F1-slice_from,F1-zzUnpackTrans,F1-getBoost,F1-getName,F1-toString,F1-length,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.util.AbstractSequentialList,F5-java.util.Hashtable,F5-java.io.InputStream,F5-DocsAndPositionsEnum,F5-java.io.FilterInputStream,F5-java.lang.Number,F5-CharacterIterator,F5-java.util.AbstractList,F5-java.io.Reader,F5-java.lang.RuntimeException,F5-DocsEnum,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-java.util.AbstractSet,F5-java.lang.Exception,F5-java.util.HashMap,F5-NamedList,F9-flags,F9-functions,F9-lo,F9-dateFormat,F9-scorer,F9-field,F9-indexedField,F9-hi,F9-theScore,F9-min,F9-subStats,F9-fullFlush,F9-buf,F9-fieldNames,F9-source,F9-NA,F9-numPending,F9-normalCompletion,F9-sources,F9-lowHitCount,F10-NA,F10-true,F19-NA,F19-abstract,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-boolean,F4-File[],F4-long,F4-QueryNode,F4-char,F4-float,F4-Token,F4-Object,F4-SrndQuery,F4-void,F4-List,F4-StringBuilder,F4-T,F4-int,F4-String,F4-Class,F4-Row,F4-DocsEnum,F8-DocumentsWriterFlushControl,F8-FSTCompletionLookup,F8-TernaryTree,F8-DateFormatCacheKey,F8-MultiFunction,F8-ClusterStateUpdater,F8-MultiStats,F8-InputWindowToken,F8-MoreLikeThis,F8-ScaleFloatFunction,F8-CompoundWordTokenFilterBase,F8-Correction,F8-CombineSuggestionWrapper,F8-CharVector,F8-TypePromoter,F8-OpenStringBuilder,F8-NA,F8-ElevationObj,F8-JavaUtilRegexMatcher,F8-SloppyPhraseScorer,F11-scorer,F11-timestamp,F11-NA,F11-params,F11-comparator,F11-failedPings,F11-field,F11-b,F11-showMatch,F11-start,F11-token,F11-numTerms,F11-baseParser,F11-deleteById,F11-vs,F11-_name,F11-clauses,F11-query,F11-state,F11-queryPhases,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-ryan@apache.org,F71-chrism@apache.org,F71-mvg@apache.org,F71-shalin@apache.org,F71-koji@apache.org,F71-rmuir@apache.org,F71-simonw@apache.org,F71-sarowe@apache.org,F71-gsingers@apache.org,F71-hossman@apache.org,F71-ehatcher@apache.org,F71-buschmi@apache.org,F71-siren@apache.org,F71-markrmiller@apache.org,F71-noble@apache.org,F71-yonik@apache.org,F71-mikemccand@apache.org,F71-shaie@apache.org,F71-erick@apache.org,F71-uschindler@apache.org,F74,F73,F84,F146,category
lucene-solr-B-0,12763,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,203,true,30,22,5151,6,7,560,10,112,0.7599206349206349,293,160,0.5460750853242321,0.5775100401606426,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,STYLE,0.049072642967542504,EQ_DOESNT_OVERRIDE_EQUALS,17,2,121,0.020856610800744878,7.448789571694599E-4,0.04506517690875233,-1.0,0.0,0.0,0.18897108271687962,0.40709640431417426,-0.9877300613496932,0.0,0.08385556550283498,0.40709640431417426,-0.10948905109489052,-1.0,30,10769,1504,21487,571,7.475238273219959E-4,4,715,-144,1290,0.026366614839391483,0,0,0,0,0,0,4,0.0,4,0,0,0,0,4,0,0,0.0,205,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,10803,26424,205,10803,close
lucene-solr-B-1,12763,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,203,true,30,22,5151,6,7,560,10,112,0.7599206349206349,293,160,0.5460750853242321,0.5775100401606426,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,STYLE,0.049072642967542504,EQ_DOESNT_OVERRIDE_EQUALS,17,2,121,0.020856610800744878,7.448789571694599E-4,0.04506517690875233,-1.0,0.0,0.0,0.18897108271687962,0.40709640431417426,-0.9877300613496932,0.0,0.08385556550283498,0.40709640431417426,-0.10948905109489052,-1.0,30,10769,1504,21487,571,7.475238273219959E-4,4,715,-144,1290,0.026366614839391483,0,0,0,0,0,0,4,0.0,4,0,0,0,0,4,0,0,0.0,205,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,10803,26424,205,10803,close
lucene-solr-B-2,26421,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,4122,true,17,39,683,2,6,96,4,21,0.8987915407854985,413,193,0.46731234866828086,0.8235294117647058,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,STYLE,0.02820710973724884,BC_UNCONFIRMED_CAST,20,3,5,0.0026070763500931097,0.00186219739292365,0.00186219739292365,-1.0,0.22772277227722773,0.004509361827271837,0.18897108271687962,0.40709640431417426,-0.1782178217821782,0.0,0.08385556550283498,0.40709640431417426,-0.037037037037037035,-1.0,34,9466,1227,20184,23,0.0032496307237813884,0,0,23,23,0.003158803195338962,0,0,0,0,0,0,11,0.0,11,0,0,0,0,11,0,0,0.0,205,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,10803,18807,205,10803,close
lucene-solr-B-3,26421,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,4122,true,17,39,683,2,6,96,4,21,0.8942598187311178,413,193,0.46731234866828086,0.6470588235294118,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,STYLE,0.02820710973724884,BC_UNCONFIRMED_CAST,20,3,5,0.0026070763500931097,0.00186219739292365,0.00186219739292365,-1.0,0.22772277227722773,0.004509361827271837,0.18897108271687962,0.40709640431417426,-0.1782178217821782,0.0,0.08385556550283498,0.40709640431417426,-0.037037037037037035,-1.0,34,9466,1227,20184,23,0.0032496307237813884,0,0,23,23,0.003158803195338962,0,0,0,0,0,0,11,0.0,11,0,0,0,0,11,0,0,0.0,205,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,10803,18807,205,10803,close
lucene-solr-B-4,26421,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,4122,true,17,39,683,2,6,96,4,21,0.8957703927492447,413,193,0.46731234866828086,0.7058823529411765,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,STYLE,0.02820710973724884,BC_UNCONFIRMED_CAST,20,3,5,0.0026070763500931097,0.00186219739292365,0.00186219739292365,-1.0,0.22772277227722773,0.004509361827271837,0.18897108271687962,0.40709640431417426,-0.1782178217821782,0.0,0.08385556550283498,0.40709640431417426,-0.037037037037037035,-1.0,34,9466,1227,20184,23,0.0032496307237813884,0,0,23,23,0.003158803195338962,0,0,0,0,0,0,11,0.0,11,0,0,0,0,11,0,0,0.0,205,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,10803,18807,205,10803,close
lucene-solr-B-5,26421,org/apache/lucene/analysis,org/apache/lucene/analysis/Token.java,4122,true,17,39,683,2,6,96,4,21,0.9003021148036254,413,193,0.46731234866828086,0.8823529411764706,10,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,STYLE,0.02820710973724884,BC_UNCONFIRMED_CAST,20,3,5,0.0026070763500931097,0.00186219739292365,0.00186219739292365,-1.0,0.22772277227722773,0.004509361827271837,0.18897108271687962,0.40709640431417426,-0.1782178217821782,0.0,0.08385556550283498,0.40709640431417426,-0.037037037037037035,-1.0,34,9466,1227,20184,23,0.0032496307237813884,0,0,23,23,0.003158803195338962,0,0,0,0,0,0,11,0.0,11,0,0,0,0,11,0,0,0.0,205,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,10803,18807,205,10803,close
lucene-solr-B-6,12763,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,203,true,30,22,5151,6,7,560,10,112,0.7599206349206349,293,160,0.5460750853242321,0.5775100401606426,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,STYLE,0.049072642967542504,EQ_DOESNT_OVERRIDE_EQUALS,17,2,121,0.020856610800744878,7.448789571694599E-4,0.04506517690875233,-1.0,0.0,0.0,0.18897108271687962,0.40709640431417426,-0.9877300613496932,0.0,0.08385556550283498,0.40709640431417426,-0.10948905109489052,-1.0,30,10769,1504,21487,571,7.475238273219959E-4,4,715,-144,1290,0.026366614839391483,0,0,0,0,0,0,4,0.0,4,0,0,0,0,4,0,0,0.0,205,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,10803,26424,205,10803,close
lucene-solr-B-7,12763,org/apache/lucene/util,org/apache/lucene/util/AttributeSource.java,203,true,30,22,5151,6,7,560,10,112,0.7599206349206349,293,160,0.5460750853242321,0.5775100401606426,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,STYLE,0.049072642967542504,EQ_DOESNT_OVERRIDE_EQUALS,17,2,121,0.020856610800744878,7.448789571694599E-4,0.04506517690875233,-1.0,0.0,0.0,0.18897108271687962,0.40709640431417426,-0.9877300613496932,0.0,0.08385556550283498,0.40709640431417426,-0.10948905109489052,-1.0,30,10769,1504,21487,571,7.475238273219959E-4,4,715,-144,1290,0.026366614839391483,0,0,0,0,0,0,4,0.0,4,0,0,0,0,4,0,0,0.0,205,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,10803,26424,205,10803,close
lucene-solr-B-8,21607,org/apache/lucene/analysis/ar,org/apache/lucene/analysis/ar/ArabicStemmer.java,1533,true,0,5,192,1,2,18,1,8,0.32,75,61,0.8133333333333334,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,MALICIOUS_CODE,0.012751159196290572,MS_PKGPROTECT,18,2,0,0.0014897579143389199,7.448789571694599E-4,0.0,0.0,0.25,0.015625,0.1413427561837456,0.1161323606038218,-0.3611111111111111,0.0,0.011936735302894658,0.1161323606038218,-1.0,-1.0,9,10889,1533,21607,2,0.0,0,0,2,2,0.015698587127158554,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2165,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12763,26424,205,10803,open
lucene-solr-B-9,21607,org/apache/lucene/analysis/ar,org/apache/lucene/analysis/ar/ArabicStemmer.java,1533,true,0,5,192,1,2,18,1,8,0.38666666666666666,75,61,0.8133333333333334,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,MALICIOUS_CODE,0.012751159196290572,MS_PKGPROTECT,18,2,0,0.0014897579143389199,7.448789571694599E-4,0.0,0.0,0.25,0.015625,0.1413427561837456,0.1161323606038218,-0.3611111111111111,0.0,0.011936735302894658,0.1161323606038218,-1.0,-1.0,9,10889,1533,21607,2,0.0,0,0,2,2,0.015698587127158554,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2165,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12763,26424,205,10803,open
