warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label
17,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,setMaxThreads,null,"consolePropertyMessage(""DRDA_InvalidValue.U"", new String []",,3743,3743,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3743,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
40,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,getPropertyValues,null,"retval.put(Property.DRDA_PROP_PORTNUMBER, new Integer(portNumber).toString());",,3893,3893,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3893,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
133,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,consoleTraceMessage,null,args[1] = new Integer(connNum).toString();,,1314,1314,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1314,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
247,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,executeWork,null,"consolePropertyMessage(""DRDA_ConnectionTested.I"", new String []",,2264,2264,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L2264,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
332,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.client.am,org.apache.derby.client.am.ColumnMetaData,null,assignColumnName,null,Integer,"Integer,column,toString",835,835,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/client/org/apache/derby/client/am/ColumnMetaData.java#L835,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/am/ColumnMetaData.java,,close
414,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,netSetTimeSlice,null,"consolePropertyMessage(""DRDA_TimeSliceChange.I"",",,1447,1447,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1447,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
461,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,setUpSocket,null,"consolePropertyMessage(""DRDA_NoIO.S"",",,2597,2597,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L2597,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
585,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,processCommands,null,"throw new Throwable(langUtil.getTextMessage(""DRDA_UnknownProtocol.S"",  new Integer(version).toString()));",,1658,1658,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1658,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
811,derby,DM_BOXED_PRIMITIVE_FOR_PARSING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,getIntPropVal,null,val = (new Integer(propVal)).intValue();,,3241,3241,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3241,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
882,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,netSetMaxThreads,null,"consolePropertyMessage(""DRDA_MaxThreadsChange.I"", new Integer(",,1421,1421,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1421,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
999,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,null,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,null,setTimeSlice,null,"consolePropertyMessage(""DRDA_InvalidValue.U"", new String []",,3683,3683,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3683,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close
