warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label
512,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.MethodCallNode,null,throwNoMethodFound,null,hasVarargs,hasVarargs,376,376,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/MethodCallNode.java#L376,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/MethodCallNode.java,,close
514,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.jdbc,org.apache.derby.impl.jdbc.EmbedResultSet,null,updateObject,null,int origvaluelen = value.getLength();,,3068,3068,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/jdbc/EmbedResultSet.java#L3068,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/jdbc/EmbedResultSet.java,,open
529,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.DMLModStatementNode,null,parseGenerationClause,null,getCompilerContext,getCompilerContext,533,533,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/DMLModStatementNode.java#L533,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/DMLModStatementNode.java,,close
597,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.client.net,org.apache.derby.client.net.NetConnectionReply,null,parseSECCHKreply,null,byte[] bytes = parseSECTKN(false);,,243,243,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/client/org/apache/derby/client/net/NetConnectionReply.java#L243,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/net/NetConnectionReply.java,,close
621,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.UpdateNode,null,addGeneratedColumns,null,"int		                        columnCount = baseTable.getMaxColumnID();",,1232,1232,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/UpdateNode.java#L1232,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/UpdateNode.java,,close
624,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.tools.ij,org.apache.derby.impl.tools.ij.URLCheck,null,main,null,URLCheck,"URLCheck,args",69,69,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/tools/org/apache/derby/impl/tools/ij/URLCheck.java#L69,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/tools/org/apache/derby/impl/tools/ij/URLCheck.java,,open
637,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SetSchemaNode,null,activationKind,null,getCompilerContext,"getCompilerContext,getParameterList",163,163,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/SetSchemaNode.java#L163,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/SetSchemaNode.java,,close
643,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.iapi.sql.dictionary,org.apache.derby.iapi.sql.dictionary.ConstraintDescriptor,null,getColumnDescriptors,null,DataDictionary dd = getDataDictionary();,,325,325,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/iapi/sql/dictionary/ConstraintDescriptor.java#L325,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/sql/dictionary/ConstraintDescriptor.java,,close
661,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.CreateIndexNode,null,bindStatement,null,getCompilerContext,getCompilerContext,150,150,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/CreateIndexNode.java#L150,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/CreateIndexNode.java,,close
670,derby,DLS_DEAD_LOCAL_STORE,B,last,null,STYLE,org.apache.derby.impl.sql.execute,org.apache.derby.impl.sql.execute.ConstraintConstantAction,null,validateConstraint,null,row,"row,getRowArray",301,301,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/ConstraintConstantAction.java#L301,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/ConstraintConstantAction.java,,close
