"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"23","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.iapi.services.context","org.apache.derby.iapi.services.context.ContextService","null","resetCurrentContextManager","null","Object oldCM = stack.pop();","","350","350","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/iapi/services/context/ContextService.java#L350","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/services/context/ContextService.java","","close"
"43","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.conn","org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext","null","initDefaultSchemaDescriptor","null","String authorizationId = getSessionUserId();","","424","424","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/conn/GenericLanguageConnectionContext.java#L424","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/conn/GenericLanguageConnectionContext.java","","close"
"54","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.DistinctNode","null","optimizeIt","null","CostEstimate childCost =","","151","151","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/DistinctNode.java#L151","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/DistinctNode.java","","close"
"114","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.LockTableNode","null","bindStatement","null","getDataDictionary","getDataDictionary","99","99","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/LockTableNode.java#L99","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/LockTableNode.java","","close"
"121","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.ResultSetNode","null","parseDefault","null","CompilerContext 			compilerContext = getCompilerContext();","","1209","1209","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/ResultSetNode.java#L1209","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/ResultSetNode.java","","close"
"154","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.BinaryComparisonOperatorNode","null","bindComparisonOperator","null","rightOperand","rightOperand,rightType,getTypeId","201","201","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java#L201","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java","","close"
"158","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.OptimizerImpl","null","ruleBasedCostOptimizable","null","optimizable","optimizable,getCurrentAccessPath,getLockMode","2027","2027","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/OptimizerImpl.java#L2027","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/OptimizerImpl.java","","close"
"168","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.iapi.tools.i18n","org.apache.derby.iapi.tools.i18n.LocalizedResource","null","<clinit>","null","Method getbd = ResultSet.class.getMethod(""getBigDecimal"", new Class[] {int.class});","","61","61","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/tools/org/apache/derby/iapi/tools/i18n/LocalizedResource.java#L61","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/tools/org/apache/derby/iapi/tools/i18n/LocalizedResource.java","","unknown"
"180","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.iapi.db","org.apache.derby.iapi.db.OptimizerTrace","null","writeOptimizerTraceOutputHtml","null","getOptimizerTraceOutput","getOptimizerTraceOutput","130","130","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/iapi/db/OptimizerTrace.java#L130","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/db/OptimizerTrace.java","","unknown"
"201","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.drda","org.apache.derby.impl.drda.NetworkServerControlImpl","null","checkShutdownPrivileges","null","final Permission sp  = new SystemPermission(","","1166","1166","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1166","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java","","open"
"264","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.tools.ij","org.apache.derby.impl.tools.ij.ij","null","dynamicConnection","null","URLCheck aCheck = new URLCheck(sVal);","","1471","1471","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//generated/java/org/apache/derby/impl/tools/ij/ij.java#L1471","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/tools/ij/ij.java","","unknown"
"272","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.ResultColumnList","null","populate","null","TableName				tableName = makeTableName( table.getSchemaName(), table.getName() );","","4155","4155","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java#L4155","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java","","close"
"273","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.ValueNodeList","null","comparable","null","leftOperand","leftOperand,leftType,getTypeId","341","341","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/ValueNodeList.java#L341","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/ValueNodeList.java","","close"
"303","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.BinaryComparisonOperatorNode","null","bindExpression","null","rightOperand","rightOperand,getTypeCompiler","134","134","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java#L134","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java","","close"
"312","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.LikeEscapeOperatorNode","null","bindExpression","null","receiver","receiver,getTypeCompiler","266","266","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java#L266","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/LikeEscapeOperatorNode.java","","close"
"313","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.store.access.btree","org.apache.derby.impl.store.access.btree.OpenBTree","null","checkConsistency","null","null","null,root,this,true,checkConsistency","281","281","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/store/access/btree/OpenBTree.java#L281","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/access/btree/OpenBTree.java","","open"
"326","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.HalfOuterJoinNode","null","LOJ_reorderable","null","leftResultSet","leftResultSet","496","496","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/HalfOuterJoinNode.java#L496","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/HalfOuterJoinNode.java","","open"
"329","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.catalog","org.apache.derby.impl.sql.catalog.SYSTRIGGERSRowFactory","null","buildDescriptor","null","dd","dd,getDataDescriptorGenerator","302","302","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/catalog/SYSTRIGGERSRowFactory.java#L302","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/catalog/SYSTRIGGERSRowFactory.java","","close"
"360","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.FromBaseTable","null","isOneRowResultSet","null","DataDictionary dd = getDataDictionary();","","4576","4576","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/FromBaseTable.java#L4576","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/FromBaseTable.java","","close"
"371","derby","DLS_DEAD_LOCAL_STORE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.ResultColumnList","null","setUnionResultExpression","null","ContextManager cm = getContextManager();","","2351","2351","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java#L2351","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java","","close"
