"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"21","derby","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.derbyPreBuild","org.apache.derbyPreBuild.ReleaseProperties","null","execute","null","","","166","166","close","https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/build/org/apache/derbyPreBuild/ReleaseProperties.java#L166","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/build/org/apache/derbyPreBuild/ReleaseProperties.java","","open"
"1057","tomcat","REC_CATCH_EXCEPTION","B","last","null","STYLE","org.apache.catalina.startup","org.apache.catalina.startup.HostConfig","null","deployWAR","null","","","862","862","close","https://github.com/apache/tomcat/tree/ad9a49cb08bf004af97cad465bba45d21d112325//java/org/apache/catalina/startup/HostConfig.java#L862","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/startup/HostConfig.java","","unknown"
"1383","tomcat","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.catalina.startup","org.apache.catalina.startup.PasswdUserDatabase","null","init","null","","","184","184","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/startup/PasswdUserDatabase.java#L184","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/startup/PasswdUserDatabase.java","","open"
"1456","tomcat","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.catalina.ant.jmx","org.apache.catalina.ant.jmx.JMXAccessorEqualsCondition","null","accessJMXValue","null","","","212","212","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/ant/jmx/JMXAccessorEqualsCondition.java#L212","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/ant/jmx/JMXAccessorEqualsCondition.java","","unknown"
"1460","tomcat","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.catalina.ant.jmx","org.apache.catalina.ant.jmx.JMXAccessorCondition","null","accessJMXValue","null","","","297","297","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/ant/jmx/JMXAccessorCondition.java#L297","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/ant/jmx/JMXAccessorCondition.java","","unknown"
"1932","lucene-solr","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.solr.handler.admin","org.apache.solr.handler.admin.CoreAdminHandler","null","handleSplitAction","null","","","314","314","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java#L314","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java","","unknown"
"2059","lucene-solr","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.solr.core","org.apache.solr.core.CoreContainer","null","reload","null","","","725","725","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/core/CoreContainer.java#L725","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/core/CoreContainer.java","","unknown"
"2338","lucene-solr","REC_CATCH_EXCEPTION","B","last","null","STYLE","org.apache.solr.handler","org.apache.solr.handler.ReplicationHandler","null","loadReplicationProperties","null","","","764","764","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/handler/ReplicationHandler.java#L764","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/ReplicationHandler.java","","unknown"
"2393","lucene-solr","REC_CATCH_EXCEPTION","A","last","null","STYLE","org.apache.solr.handler.admin","org.apache.solr.handler.admin.CoreAdminHandler","null","handleCreateAction","null","","","344","344","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java#L344","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java","","unknown"
"2524","lucene-solr","REC_CATCH_EXCEPTION","C","last","null","STYLE","org.apache.solr.handler.admin","org.apache.solr.handler.admin.CoreAdminHandler","null","handleMergeAction","null","","","388","388","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java#L388","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/admin/CoreAdminHandler.java","","unknown"
