"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"83","derby","NP_NULL_ON_SOME_PATH","B","last","null","CORRECTNESS","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.CharConstantNode","null","init","null","newLen","newLen,val,length","94","94","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/CharConstantNode.java#L94","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/CharConstantNode.java","","unknown"
"95","derby","RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE","B","last","null","STYLE","org.apache.derby.impl.sql.execute","org.apache.derby.impl.sql.execute.CreateTriggerConstantAction","null","executeConstantAction","null","TriggerDescriptor triggerd =","","299","299","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/CreateTriggerConstantAction.java#L299","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/CreateTriggerConstantAction.java","","close"
"302","derby","RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE","B","last","null","STYLE","org.apache.derby.iapi.types","org.apache.derby.iapi.types.WorkHorseForCollatorDatatypes","collationElementsForString","getCollationElementsForString","null","collationElementsForString","collationElementsForString,null","241","241","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/iapi/types/WorkHorseForCollatorDatatypes.java#L241","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/types/WorkHorseForCollatorDatatypes.java","","unknown"
"526","derby","RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE","B","last","null","CORRECTNESS","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.CastNode","null","bindExpression","null","opndType","opndType,getTypeId","213","213","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/CastNode.java#L213","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/CastNode.java","","close"
"633","derby","RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE","B","last","null","CORRECTNESS","org.apache.derby.impl.sql.execute","org.apache.derby.impl.sql.execute.DependentResultSet","null","<init>","null","activation","activation,resultRowTemplate,resultSetNumber,super","145","145","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/DependentResultSet.java#L145","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/DependentResultSet.java","","open"
"696","derby","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","B","last","null","STYLE","org.apache.derby.impl.io","org.apache.derby.impl.io.DirFile","null","deleteAll","null","childList","childList,i,i,length","290","290","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/io/DirFile.java#L290","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/io/DirFile.java","","close"
"937","derby","UWF_NULL_FIELD","B","last","null","CORRECTNESS","org.apache.derby.client.net","org.apache.derby.client.net.NetConnection","cnntkn_","null","null","","","-2","-2","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/client/org/apache/derby/client/net/NetConnection.java#L-2","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/net/NetConnection.java","","close"
"958","derby","NP_LOAD_OF_KNOWN_NULL_VALUE","B","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.FromBaseTable","null","mapTableAsVTI","null","vtiNode = (QueryTreeNode) getNodeFactory().getNode(","","2444","2444","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/FromBaseTable.java#L2444","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/FromBaseTable.java","","close"
"965","derby","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","B","last","null","STYLE","org.apache.derby.impl.sql.catalog","org.apache.derby.impl.sql.catalog.DataDictionaryImpl","null","makePasswordHasher","null","if (algorithm != null && algorithm.length() > 0) {","","1496","1496","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java#L1496","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java","","close"
"256","derby","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","A","last","null","STYLE","org.apache.derby.impl.sql.compile","org.apache.derby.impl.sql.compile.SQLParser","null","tableFactor","null","fromTable = (FromTable) nodeFactory.getNode(","","9016","9016","close","https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L9016","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java","","unknown"
"437","derby","NP_NULL_ON_SOME_PATH","A","last","null","CORRECTNESS","org.apache.derby.impl.drda","org.apache.derby.impl.drda.DDMWriter","null","writeScalarBytes","null","buf","buf,length,length","705","705","close","https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/DDMWriter.java#L705","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/DDMWriter.java","","unknown"
"542","derby","NP_NULL_ON_SOME_PATH_EXCEPTION","A","last","null","CORRECTNESS","org.apache.derby.impl.jdbc.authentication","org.apache.derby.impl.jdbc.authentication.AuthenticationServiceBase","null","encryptPasswordSHA1Scheme","null","algorithm","algorithm,reset","480","480","close","https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java#L480","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java","","unknown"
"573","derby","NP_NULL_ON_SOME_PATH","A","last","null","CORRECTNESS","org.apache.derby.impl.store.access","org.apache.derby.impl.store.access.RAMTransaction","tempCongloms","addColumnToConglomerate","null","Long","Long,conglom,conglomId,tempCongloms,put","627","627","close","https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/store/access/RAMTransaction.java#L627","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/access/RAMTransaction.java","","unknown"
"593","derby","NP_NULL_ON_SOME_PATH","A","last","null","CORRECTNESS","org.apache.derby.impl.drda","org.apache.derby.impl.drda.DDMReader","buffer","toDebugString","null","s += indent + ""Reader buffer length = "" + buffer.length + ""\n"";","","1987","1987","close","https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/DDMReader.java#L1987","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/DDMReader.java","","unknown"
"110","derby","NP_NULL_ON_SOME_PATH","C","last","null","CORRECTNESS","org.apache.derby.iapi.types","org.apache.derby.iapi.types.SqlXmlUtil","null","evalXQExpression","null","instanceof","instanceof,itemRefs,size","648","648","close","https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/iapi/types/SqlXmlUtil.java#L648","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/types/SqlXmlUtil.java","","open"
"127","derby","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","C","last","null","STYLE","org.apache.derby.impl.store.raw.xact","org.apache.derby.impl.store.raw.xact.Xact","postCommitWorks","postTermination","null","if (postCommitWorks != null)","","2132","2132","close","https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/store/raw/xact/Xact.java#L2132","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/raw/xact/Xact.java","","unknown"
"389","derby","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","C","last","null","STYLE","org.apache.derby.client.net","org.apache.derby.client.net.NetStatementReply","null","parseSQLDXGRP","null","column","column,columnMetaData,columnMetaData,null,sqlxrdbnam,sqlxrdbnam,sqldRdbnam_,sqlxRdbnam_","2196","2196","close","https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/client/org/apache/derby/client/net/NetStatementReply.java#L2196","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/net/NetStatementReply.java","","open"
"1904","lucene-solr","NP_NULL_ON_SOME_PATH_EXCEPTION","A","last","null","CORRECTNESS","org.apache.solr.uima.processor","org.apache.solr.uima.processor.UIMAUpdateRequestProcessor","null","processAdd","null","Math","Math,text,length,min","101","101","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/contrib/uima/src/java/org/apache/solr/uima/processor/UIMAUpdateRequestProcessor.java#L101","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/contrib/uima/src/java/org/apache/solr/uima/processor/UIMAUpdateRequestProcessor.java","","close"
"2002","lucene-solr","NP_NULL_PARAM_DEREF","A","last","null","CORRECTNESS","org.apache.solr.schema","org.apache.solr.schema.TextField","null","parseFieldQuery","null","Term","Term,TermQuery,field,term","265","265","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/core/src/java/org/apache/solr/schema/TextField.java#L265","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/schema/TextField.java","","unknown"
