warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label
63,derby,DM_BOOLEAN_CTOR,B,last,null,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SelectNode,null,genProjectRestrict,null,prnRSN = (ResultSetNode) getNodeFactory().getNode(,,1657,1657,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/SelectNode.java#L1657,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/SelectNode.java,,unknown
837,derby,DM_BOOLEAN_CTOR,B,last,null,PERFORMANCE,org.apache.derby.impl.sql.execute,org.apache.derby.impl.sql.execute.TriggerInfo,null,hasTrigger,null,Boolean,"Boolean,Boolean,hasTrigger,isBefore,isRow",166,166,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/TriggerInfo.java#L166,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/TriggerInfo.java,,unknown
132,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.FileMonitor,null,run,null,Boolean,"Boolean,PBinitialize,action",287,287,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/services/monitor/FileMonitor.java#L287,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/FileMonitor.java,,unknown
140,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.store.raw.data,org.apache.derby.impl.store.raw.data.BaseDataFileFactory$5,null,run,null,return new Boolean(bsegdir.isDirectory());,,2603,2603,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java#L2603,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java,,close
292,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.StorageFactoryService$12,null,run,null,Boolean,"Boolean,file,exists",964,964,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java#L964,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java,,close
727,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,null,sequentialCompress,null,{if (true) return (StatementNode) nodeFactory.getNode(,,13484,13484,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L13484,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown
776,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,null,inplaceCompress,null,{if (true) return (StatementNode) nodeFactory.getNode(,,13463,13463,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L13463,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown
899,derby,DM_BOOLEAN_CTOR,A,last,null,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,null,routineElement,null,clauseValue = new Boolean(routineSecurityClause());,,10667,10667,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L10667,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown
3,derby,DM_NUMBER_CTOR,C,last,null,PERFORMANCE,org.apache.derby.impl.store.replication.net,org.apache.derby.impl.store.replication.net.ReplicationMessageTransmit,null,brokerConnection,null,ReplicationMessage initiatorMsg =,,259,259,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/store/replication/net/ReplicationMessageTransmit.java#L259,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/replication/net/ReplicationMessageTransmit.java,,close
4,derby,DM_NUMBER_CTOR,C,last,null,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.BaseMonitor,null,newInstanceFromIdentifier,null,"throw StandardException.newException(SQLState.REGISTERED_CLASS_INSTANCE_ERROR,",,698,698,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/services/monitor/BaseMonitor.java#L698,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/BaseMonitor.java,,close
5,derby,DM_NUMBER_CTOR,C,last,null,PERFORMANCE,org.apache.derby.impl.jdbc,org.apache.derby.impl.jdbc.LOBStreamControl,null,isValidPostion,null,StandardException,"StandardException,newException",165,165,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/jdbc/LOBStreamControl.java#L165,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/jdbc/LOBStreamControl.java,,close
