"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"0","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.sql.execute","org.apache.derby.impl.sql.execute.IndexSetChanger","indexNames","<init>","null","indexNames","indexNames,indexNames","129","129","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/IndexSetChanger.java#L129","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/IndexSetChanger.java","","open"
"12","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.tools.ij","org.apache.derby.impl.tools.ij.ParseException","tokenImage","<init>","null","tokenImage","tokenImage,tokenImageVal","55","55","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/tools/org/apache/derby/impl/tools/ij/ParseException.java#L55","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/tools/org/apache/derby/impl/tools/ij/ParseException.java","","unknown"
"14","derby","EI_EXPOSE_REP","B","last","null","MALICIOUS_CODE","org.apache.derby.iapi.sql.dictionary","org.apache.derby.iapi.sql.dictionary.SPSDescriptor","compileTime","getCompileTime","null","compileTime","compileTime","513","513","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/iapi/sql/dictionary/SPSDescriptor.java#L513","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/iapi/sql/dictionary/SPSDescriptor.java","","close"
"16","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.sql.catalog","org.apache.derby.impl.sql.catalog.XPLAINStatementTimingsDescriptor","end_comp_time","<init>","null","end_comp_time","end_comp_time,end_comp_time","72","72","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/catalog/XPLAINStatementTimingsDescriptor.java#L72","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/catalog/XPLAINStatementTimingsDescriptor.java","","close"
"27","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.jdbc","org.apache.derby.impl.jdbc.EmbedResultSetMetaData","columnInfo","<init>","null","columnInfo","columnInfo,columnInfo","68","68","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/jdbc/EmbedResultSetMetaData.java#L68","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/jdbc/EmbedResultSetMetaData.java","","close"
"37","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.catalog.types","org.apache.derby.catalog.types.IndexDescriptorImpl","isAscending","<init>","null","isAscending","isAscending,isAscending","102","102","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java#L102","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/catalog/types/IndexDescriptorImpl.java","","close"
"50","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.client.am","org.apache.derby.client.am.EncryptionManager","token_","setInitVector","null","initVector","initVector,token_","492","492","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/client/org/apache/derby/client/am/EncryptionManager.java#L492","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/am/EncryptionManager.java","","unknown"
"56","derby","EI_EXPOSE_REP","B","last","null","MALICIOUS_CODE","org.apache.derby.client.net","org.apache.derby.client.net.PublicBufferOutputStream","buf","getBuffer","null","buf","buf","43","43","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/client/org/apache/derby/client/net/PublicBufferOutputStream.java#L43","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/net/PublicBufferOutputStream.java","","open"
"66","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.sql.catalog","org.apache.derby.impl.sql.catalog.DDColumnDependableFinder","columnBitMap","<init>","null","columnBitMap","columnBitMap,columnBitMap","76","76","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/catalog/DDColumnDependableFinder.java#L76","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/catalog/DDColumnDependableFinder.java","","open"
"69","derby","EI_EXPOSE_REP2","B","last","null","MALICIOUS_CODE","org.apache.derby.impl.sql","org.apache.derby.impl.sql.CursorInfo","targetColumns","<init>","null","targetColumns","targetColumns,targetColumns","84","84","close","https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/CursorInfo.java#L84","https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/CursorInfo.java","","unknown"
