warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label
2903,lucene-solr,CN_IDIOM_NO_SUPER_CALL,A,last,null,BAD_PRACTICE,org.apache.lucene.codecs.simpletext,org.apache.lucene.codecs.simpletext.SimpleTextStoredFieldsReader,null,clone,null,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/java/org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/java/org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader.java,,unknown
1931,lucene-solr,CN_IDIOM_NO_SUPER_CALL,C,last,null,BAD_PRACTICE,org.apache.lucene.search.spans,org.apache.lucene.search.spans.SpanFirstQuery,null,clone,null,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/core/src/java/org/apache/lucene/search/spans/SpanFirstQuery.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/search/spans/SpanFirstQuery.java,,unknown
2928,lucene-solr,CN_IDIOM_NO_SUPER_CALL,C,last,null,BAD_PRACTICE,org.apache.lucene.search.join,org.apache.lucene.search.join.ToChildBlockJoinQuery,null,clone,null,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/join/src/java/org/apache/lucene/search/join/ToChildBlockJoinQuery.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/join/src/java/org/apache/lucene/search/join/ToChildBlockJoinQuery.java,,unknown
9670,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant,org.apache.tools.ant.AntClassLoaderTest,null,tearDown,null,},,52,52,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/AntClassLoaderTest.java#L52,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/AntClassLoaderTest.java,,open
9672,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.UnzipTest,null,tearDown,null,},,42,42,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/UnzipTest.java#L42,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/UnzipTest.java,,unknown
9683,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest,null,tearDown,null,},,60,60,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/EchoPropertiesTest.java#L60,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/EchoPropertiesTest.java,,open
9686,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.Native2AsciiTest,null,tearDown,null,},,40,40,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/Native2AsciiTest.java#L40,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/Native2AsciiTest.java,,open
9699,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ProtectedJarMethodsTest,null,tearDown,null,},,42,42,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java#L42,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java,,unknown
9707,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ReplaceTest,null,tearDown,null,},,98,98,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ReplaceTest.java#L98,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ReplaceTest.java,,unknown
9710,ant,IJU_TEARDOWN_NO_SUPER,C,last,null,CORRECTNESS,org.apache.tools.ant.types.resources,org.apache.tools.ant.types.resources.ResourceListTest,null,tearDown,null,},,33,33,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/types/resources/ResourceListTest.java#L33,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/types/resources/ResourceListTest.java,,unknown
