"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"1753","lucene-solr","OBL_UNSATISFIED_OBLIGATION","B","last","null","EXPERIMENTAL","org.apache.lucene.search.suggest.fst","org.apache.lucene.search.suggest.fst.Sort","null","copy","null","FileOutputStream","FileOutputStream,os,output","303","303","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//lucene/suggest/src/java/org/apache/lucene/search/suggest/fst/Sort.java#L303","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/suggest/src/java/org/apache/lucene/search/suggest/fst/Sort.java","","unknown"
"2168","lucene-solr","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.lucene.analysis.cn.smart.hhmm","org.apache.lucene.analysis.cn.smart.hhmm.WordDictionary","null","loadFromObj","null","FileInputStream","FileInputStream,loadFromObjectInputStream,serialObj","145","145","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java#L145","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java","","open"
"2699","lucene-solr","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.lucene.search.suggest","org.apache.lucene.search.suggest.Sort","null","copy","null","FileOutputStream","FileOutputStream,os,output","303","303","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/suggest/src/java/org/apache/lucene/search/suggest/Sort.java#L303","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/suggest/src/java/org/apache/lucene/search/suggest/Sort.java","","unknown"
"2775","lucene-solr","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.lucene.util","org.apache.lucene.util.IOUtils","null","copy","null","FileInputStream","FileInputStream,fis,source","319","319","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/core/src/java/org/apache/lucene/util/IOUtils.java#L319","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/util/IOUtils.java","","unknown"
"2905","lucene-solr","OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE","C","last","null","EXPERIMENTAL","org.apache.lucene.index","org.apache.lucene.index.IndexSplitter","null","copyFile","null","FileInputStream","FileInputStream,src","160","160","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/misc/src/java/org/apache/lucene/index/IndexSplitter.java#L160","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/misc/src/java/org/apache/lucene/index/IndexSplitter.java","","unknown"
"9673","ant","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.tools.ant.taskdefs.cvslib","org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask","null","loadUserlist","null","FileInputStream","FileInputStream,userList,usersFile,load","388","388","close","https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java#L388","https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java","","open"
"9704","ant","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.tools.ant.input","org.apache.tools.ant.input.PropertyFileInputHandler","null","readProps","null","FileInputStream","FileInputStream,props,propsFile,load","84","84","close","https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/input/PropertyFileInputHandler.java#L84","https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/input/PropertyFileInputHandler.java","","open"
"9724","ant","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.tools.ant.taskdefs.optional.jlink","org.apache.tools.ant.taskdefs.optional.jlink.jlink","null","addFile","null","FileInputStream","FileInputStream,file","346","346","close","https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java#L346","https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java","","open"
"9833","ant","OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE","C","last","null","EXPERIMENTAL","org.apache.tools.ant.util","org.apache.tools.ant.util.LayoutPreservingProperties","null","saveAs","null","FileOutputStream fos = new FileOutputStream(dest);","","249","249","close","https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java#L249","https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java","","open"
"9945","ant","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.tools.ant.taskdefs.optional.i18n","org.apache.tools.ant.taskdefs.optional.i18n.Translate","null","processBundle","null","FileInputStream","FileInputStream,ins,propsFile","411","411","close","https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java#L411","https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java","","open"
"1060","tomcat","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.catalina.startup","org.apache.catalina.startup.Catalina","null","load","null","FileInputStream","FileInputStream,file,inputStream","524","524","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/startup/Catalina.java#L524","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/startup/Catalina.java","","unknown"
"1067","tomcat","OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE","C","last","null","EXPERIMENTAL","org.apache.catalina.util","org.apache.catalina.util.ServerInfo","null","<clinit>","null","InputStream is = ServerInfo.class.getResourceAsStream","","64","64","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/util/ServerInfo.java#L64","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/util/ServerInfo.java","","close"
"1098","tomcat","OBL_UNSATISFIED_OBLIGATION","C","last","null","EXPERIMENTAL","org.apache.tomcat.util.descriptor.web","org.apache.tomcat.util.descriptor.web.FragmentJarScannerCallback","null","scan","null","FileInputStream","FileInputStream,fragmentFile,stream","122","122","close","https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/tomcat/util/descriptor/web/FragmentJarScannerCallback.java#L122","https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/tomcat/util/descriptor/web/FragmentJarScannerCallback.java","","close"
